Data,Veiculo,Produto,Serviço,Total,Fabricante
09/02/2024,208,"121,2","113,8","235,0",PEUGEOT
09/02/2024,STRADA,"1513,65","500,0","2013,65",FIAT
14/02/2024,ONIX,"1783,85","390,0","2173,85",CHEVROLET
14/02/2024,RENEGADE,"2343,0","1245,0","3588,0",JEEP
14/02/2024,COMPASS,"189,99","0,0","189,99",JEEP
14/02/2024,ONIX,"0,0","280,0","280,0",CHEVROLET
14/02/2024,CRUZE,"629,06","170,94","800,0",CHEVROLET
14/02/2024,ECOSPORT,"339,75","0,0","339,75",FORD
14/02/2024,S10,"77,5","0,0","77,5",CHEVROLET
14/02/2024,COMPASS,"1791,34","588,66","2380,0",JEEP
15/02/2024,PAJERO DAKAR,"813,08","186,92","1000,0",MITSUBISHI
15/02/2024,GRAND CHEROKEE,"8600,5","3400,0","12000,5",JEEP
15/02/2024,GOL,"620,84","359,16","980,0",VOLKSWAGEN
15/02/2024,CRUZE,"738,0","455,0","1193,0",CHEVROLET
15/02/2024,COMPASS,"135,8","0,0","135,8",JEEP
15/02/2024,PAJERO TR4,"2008,4","1640,0","3648,4",MITSUBISHI
15/02/2024,ONIX,"459,16","330,84","790,0",CHEVROLET
15/02/2024,320I,"74,64","425,35","499,99",BMW
16/02/2024,ECOSPORT,"286,99","0,0","286,99",FORD
16/02/2024,STRADA,"449,83","93,67","543,5",FIAT
16/02/2024,CRUZE,"6572,32","2349,68","8922,0",CHEVROLET
16/02/2024,F250,"1174,5","545,0","1719,5",FORD
19/02/2024,SANDERO,"490,0","90,0","580,0",RENAULT
19/02/2024,UNO,"480,4","240,0","720,4",FIAT
20/02/2024,COROLLA,"1941,4","2380,0","4321,4",TOYOTA
20/02/2024,PALIO,"0,0","220,0","220,0",FIAT
20/02/2024,CORSA,"370,43","260,0","630,43",CHEVROLET
20/02/2024,S10,"390,05","224,95","615,0",CHEVROLET
20/02/2024,HRV,"150,36","279,64","430,0",HONDA
21/02/2024,COMPASS,"738,0","455,0","1193,0",JEEP
21/02/2024,KA,"4,5","120,0","124,5",FORD
21/02/2024,CIVIC,"8954,65","6980,35","15935,0",HONDA
21/02/2024,PAMPA,"840,5","1030,0","1870,5",FIAT
22/02/2024,JETTA,"238,15","1070,0","1308,15",VOLKSWAGEN
22/02/2024,UP,"1023,3","700,0","1723,3",VOLKSWAGEN
22/02/2024,FUSION,"0,0","300,0","300,0",FORD
22/02/2024,COMPASS,"2910,5","990,0","3900,5",JEEP
23/02/2024,208,"30,8","185,0","215,8",PEUGEOT
26/02/2024,AZERA,"1094,9","0,0","1094,9",HYUNDAI
26/02/2024,RANGER,"938,54","661,47","1600,01",FORD
26/02/2024,MERIVA,"1468,5","630,0","2098,5",CHEVROLET
26/02/2024,AZERA,"634,7","1065,3","1700,0",HYUNDAI
27/02/2024,208,"267,07","112,93","380,0",PEUGEOT
27/02/2024,COMPASS,"245,91","361,0","606,91",JEEP
27/02/2024,SANDERO,"507,83","332,16","839,99",RENAULT
27/02/2024,320I,"1188,9","380,0","1568,9",BMW
27/02/2024,SAVEIRO,"0,0","80,0","80,0",VOLKSWAGEN
28/02/2024,KA,"498,2","395,0","893,2",FORD
28/02/2024,WRV,"1020,36","729,61","1749,97",HONDA
28/02/2024,GOL,"375,3","335,0","710,3",VOLKSWAGEN
29/02/2024,KICKS,"1375,14","824,87","2200,01",NISSAN
29/02/2024,PALIO,"681,55","120,0","801,55",FIAT
04/03/2024,HB20,"5467,99","3435,0","8902,99",HYUNDAI
04/03/2024,ASTRA,"42,53","387,46","429,99",CHEVROLET
04/03/2024,LIVINA,"894,65","770,0","1664,65",NISSAN
04/03/2024,PAJERO SPORT,"401,8","744,0","1145,8",MITSUBISHI
05/03/2024,HB20,"536,87","323,13","860,0",HYUNDAI
05/03/2024,SAVEIRO,"2073,26","326,74","2400,0",VOLKSWAGEN
05/03/2024,LIVINA,"322,95","315,0","637,95",NISSAN
05/03/2024,TORO,"3822,55","620,0","4442,55",FIAT
05/03/2024,AZERA,"0,0","370,0","370,0",HYUNDAI
05/03/2024,SAVEIRO,"81,6","480,0","561,6",VOLKSWAGEN
05/03/2024,X1,"81,9","0,0","81,9",BMW
06/03/2024,MONTANA,"0,0","300,0","300,0",CHEVROLET
06/03/2024,AMAROK,"0,0","285,0","285,0",VOLKSWAGEN
07/03/2024,CIVIC,"2570,3","1180,0","3750,3",HONDA
07/03/2024,CRUZE,"1097,76","552,23","1649,99",CHEVROLET
08/03/2024,PAJERO GLS-B,"121,0","0,0","121,0",MITSUBISHI
11/03/2024,S10,"837,66","662,35","1500,01",CHEVROLET
12/03/2024,SANDERO,"81,56","72,64","154,2",RENAULT
12/03/2024,AZERA,"1357,72","1142,27","2499,99",HYUNDAI
